id,targetgroup,is_felony,is_male,age,log_distance,fta_hist,appt_hist_inv,control_true_appear_prob
845fafe6e2abe4feee4458434e1a15f6,0,1,1,50,-1.3261735609076903,0,0.25,0.6574497932976879
07d6d2e04921b4121c436055e5e39e07,0,1,1,38,-0.8892021233857945,3,0.06666666666666667,0.59716587554509
131fe0afa41172c9368963cdcec38ce2,0,0,1,56,-1.0658402596690277,1,0.5,0.13580474706935175
b36b5c2ba13e7ed49e32932b6477c64f,0,1,1,51,-1.0876655727312883,0,0.05555555555555555,0.708342814281617
c197761e08375fc8cbfcc48ea67ab5a7,0,1,1,44,-1.1313737948281783,2,0.043478260869565216,0.6738840602074537
d9933f39117021c7ccd9173311e5a288,0,0,1,47,-1.1102695970411596,0,0.25,0.48652665030328957
1653e9a444574abadfbc387cae52b056,0,0,1,47,-1.084341870806102,0,0.25,0.4866744708767531
2135aabb03739f5eb83a1318a02d69d0,1,1,1,46,-1.5028282733847085,2,0.1111111111111111,0.7712444389949785
287779f6aae660c279bfed04cde78733,0,1,1,59,-1.6564323711164397,12,0.023255813953488372,0.6702625099142805
9697e607e2367aaa408c7dab52b10846,0,0,1,33,-0.5832964400000864,0,0.5,0.41137938454771206
2e9b35fd61bbb635bcf55de157c4f3b2,0,0,1,33,-0.5692730237900778,0,0.5,0.41145688185070184
d6936f8c9964063efadd1c69dca517f2,1,1,1,42,-2.5599666435676918,0,0.5,0.7887137083684896
af45a9e7fc1e0f26be924172c7e4e7a2,0,1,1,39,-1.3481888906729407,0,0.5,0.5841790768803823
a83b7a5121b763fb89c8bdbb16344827,0,1,1,55,-2.4792993832988977,0,0.14285714285714285,0.6812664082441783
94d2c28132bdea1d42d9b22723f88b4a,0,1,1,32,-1.0112273195123274,3,0.05555555555555555,0.6222442024172457
81c9c61f9fffa72681e30e51d3e661df,0,1,0,60,-1.521894231945152,5,0.06666666666666667,0.47936643554699243
86be4adbd59512478821c1591fef9235,0,0,1,48,-0.643550698539284,0,0.034482758620689655,0.5526652292495042
89ffe695f8566e55dcc3f4d0b9502112,0,1,1,32,-1.0406919102655963,0,0.5,0.5831111487728741
af9d8c812148fa7538d540c4f8536b78,0,0,1,30,-0.9833589272707335,1,0.2,0.355624664960298
7fa97094efca68c2dc63ea141a8524f8,0,0,1,47,-0.9193477256114817,3,0.04,0.49622937129510236
